strain,temperature_C,medium,NaCl_pct,PCS_type,PCS_conc_pct,mu_max,lag_h,ymax,r2,se,experiment,species,growth,sqrt_mu_max
A_dhakensis,8,TSB,0.0,,0.0,0.033,8.8,8.71,0.99,0.041,Temperature,A. dhakensis,Y,0.1816590212458495
A_dhakensis,15,TSB,0.0,,0.0,0.112,7.8,9.06,0.95,0.171,Temperature,A. dhakensis,Y,0.3346640106136302
A_caviae,15,SJ,0.0,,0.0,0.064,0.53,8.92,0.98,0.113,Temperature,A. caviae,Y,0.25298221281347033
A_caviae,8,TSB,0.0,,0.0,0.035,6.36,8.81,0.96,0.042,Temperature,A. caviae,Y,0.18708286933869708
A_caviae,15,TSB,0.0,,0.0,0.082,0.0,8.88,0.97,0.131,Temperature,A. caviae,NL,0.2863564212655271
A_media,4,TSB,1.5,,0.0,0.018,18.93,8.77,0.96,0.135,NaCl,A. media,Y,0.1341640786499874
A_media,4,TSB,3.0,,0.0,0.009,99.92,8.52,0.94,0.135,NaCl,A. media,Y,0.09486832980505137
A_bestiarum,4,TSB,1.5,,0.0,0.022,20.46,8.91,1.0,0.052,NaCl,A. bestiarum,Y,0.14832396974191325
A_bestiarum,4,TSB,3.0,,0.0,0.009,39.77,8.5,0.97,0.094,NaCl,A. bestiarum,Y,0.09486832980505137
A_piscicola,4,TSB,1.5,,0.0,0.025,20.27,8.92,1.0,0.047,NaCl,A. piscicola,Y,0.15811388300841897
